Constant_Column_1,Constant_Column_2,Column_A,Column_B
42.0,Constant,-10.0,C
,,0.8721357028707994,nan
42.0,Constant,1.4779623051410664,nan
42.0,Constant,-1.2553268071624188,nan
42.0,Constant,1.4615035408272126,nan
,,12.0,A
,,1.5577722302344874,A
42.0,Constant,15.0,C
42.0,Constant,-12.0,C
42.0,Constant,0.5434212809421829,C
42.0,Constant,-0.5559187627205281,nan
42.0,Constant,-0.17742530934392975,C
42.0,Constant,0.23169245129192997,nan
42.0,Constant,-1.460121806075636,B
42.0,Constant,10.0,A
,,0.17477081797853153,B
42.0,Constant,0.5080978256443464,C
42.0,Constant,-1.5011124138184646,A
42.0,Constant,0.08845385658008854,nan
,,-1.1201214355877318,B
42.0,Constant,-1.2553268071624188,nan
42.0,Constant,-10.0,C
,,12.0,A
42.0,Constant,-0.5559187627205281,nan
42.0,Constant,-0.17742530934392975,C
